,anger,app,disapp,fear,joy,neg,neu,num,pos,sadness,sum_c
2020-01-09,1.0,41.876866,53.3936,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4019
2020-01-17,1.0,42.33786,52.985788,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-01-19,0.0,42.33786,52.985788,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-01-20,0.5,42.713089000000004,52.823916000000004,0.5,0.0,0.5,0.5,2.0,0.0,0.0,-0.5574
2020-01-21,0.16666666666666666,42.222053,53.522698,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,6.0,0.3333333333333333,0.16666666666666666,-0.34409999999999996
2020-01-22,0.3333333333333333,41.909656,53.927913000000004,0.5,0.1111111111111111,0.2777777777777778,0.5,18.0,0.2222222222222222,0.05555555555555555,-1.4536000000000002
2020-01-23,0.2222222222222222,42.635503,53.244073,0.6666666666666666,0.05555555555555555,0.5,0.4444444444444444,18.0,0.05555555555555555,0.05555555555555555,-4.5061
2020-01-24,0.3333333333333333,43.016357,52.58426899999999,0.48148148148148145,0.1111111111111111,0.37037037037037035,0.5185185185185185,27.0,0.1111111111111111,0.07407407407407407,-3.3941
2020-01-25,0.2857142857142857,43.016357,52.58426899999999,0.6,0.0,0.4857142857142857,0.3142857142857143,35.0,0.2,0.11428571428571428,-4.6693
2020-01-26,0.2,43.074199,52.767053000000004,0.7142857142857143,0.0,0.34285714285714286,0.5428571428571428,35.0,0.11428571428571428,0.08571428571428572,-3.1264000000000003
2020-01-27,0.375,42.890308000000005,52.869209999999995,0.5,0.0,0.53125,0.3125,32.0,0.15625,0.125,-6.784700000000001
2020-01-28,0.5217391304347826,43.193389,52.515747,0.34782608695652173,0.043478260869565216,0.4782608695652174,0.391304347826087,23.0,0.13043478260869565,0.08695652173913043,-3.8399000000000005
2020-01-29,0.23809523809523808,42.95131,52.60528000000001,0.6190476190476191,0.047619047619047616,0.23809523809523808,0.3333333333333333,21.0,0.42857142857142855,0.09523809523809523,0.6099000000000002
2020-01-30,0.22448979591836735,42.830283,52.758718,0.6530612244897959,0.04081632653061224,0.32653061224489793,0.40816326530612246,49.0,0.2653061224489796,0.08163265306122448,-1.6706000000000005
2020-01-31,0.27450980392156865,43.426452000000005,51.904613,0.6470588235294118,0.058823529411764705,0.4117647058823529,0.2549019607843137,51.0,0.3333333333333333,0.0196078431372549,-2.0003
2020-02-01,0.20512820512820512,43.406713,51.959784,0.6923076923076923,0.10256410256410256,0.3333333333333333,0.48717948717948717,39.0,0.1794871794871795,0.0,-2.8662
2020-02-02,0.2857142857142857,43.636140999999995,51.889993,0.5714285714285714,0.02857142857142857,0.42857142857142855,0.4,35.0,0.17142857142857143,0.11428571428571428,-4.768400000000001
2020-02-03,0.22857142857142856,43.376899,52.214689,0.6,0.11428571428571428,0.5142857142857142,0.17142857142857143,35.0,0.3142857142857143,0.05714285714285714,-4.2305
2020-02-04,0.29411764705882354,43.513849,52.13905,0.5294117647058824,0.11764705882352941,0.5294117647058824,0.23529411764705882,17.0,0.23529411764705882,0.058823529411764705,-2.9557
2020-02-05,0.21875,43.400478,52.142364,0.59375,0.15625,0.3125,0.21875,32.0,0.46875,0.03125,2.1218
2020-02-06,0.25806451612903225,43.874323,51.807388,0.45161290322580644,0.0967741935483871,0.6129032258064516,0.2903225806451613,31.0,0.0967741935483871,0.1935483870967742,-8.016499999999999
2020-02-07,0.1111111111111111,43.835004,51.733498,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,18.0,0.3333333333333333,0.2222222222222222,-1.0981
2020-02-08,0.2608695652173913,43.835029,51.733375,0.6086956521739131,0.0,0.5217391304347826,0.21739130434782608,23.0,0.2608695652173913,0.13043478260869565,-3.5972999999999997
2020-02-09,0.3157894736842105,43.835029,51.733375,0.42105263157894735,0.10526315789473684,0.4473684210526316,0.23684210526315788,38.0,0.3157894736842105,0.15789473684210525,-4.5862
2020-02-10,0.375,43.799778,51.836954999999996,0.5416666666666666,0.08333333333333333,0.2916666666666667,0.4583333333333333,24.0,0.25,0.0,-0.9051999999999997
2020-02-11,0.375,43.624559000000005,51.97237,0.59375,0.0,0.46875,0.25,32.0,0.28125,0.03125,-3.6344999999999996
2020-02-12,0.35294117647058826,43.462463,51.971277,0.47058823529411764,0.11764705882352941,0.4117647058823529,0.17647058823529413,17.0,0.4117647058823529,0.058823529411764705,-0.5433000000000001
2020-02-13,0.29411764705882354,43.341663,52.215621,0.5882352941176471,0.058823529411764705,0.5294117647058824,0.4117647058823529,17.0,0.058823529411764705,0.058823529411764705,-4.5804
2020-02-14,0.375,43.314642,52.1884,0.5625,0.0,0.4375,0.375,16.0,0.1875,0.0625,-1.9325999999999999
2020-02-15,0.4166666666666667,43.314642,52.1884,0.5833333333333334,0.0,0.4166666666666667,0.4166666666666667,12.0,0.16666666666666666,0.0,-1.9352
2020-02-16,0.23076923076923078,43.441660999999996,52.239039,0.6923076923076923,0.07692307692307693,0.38461538461538464,0.38461538461538464,13.0,0.23076923076923078,0.0,-1.1198000000000001
2020-02-17,0.375,43.856667,51.935520000000004,0.40625,0.0,0.4375,0.375,32.0,0.1875,0.21875,-3.1267
2020-02-18,0.4117647058823529,44.570087,50.954282,0.47058823529411764,0.0,0.11764705882352941,0.6470588235294118,17.0,0.23529411764705882,0.11764705882352941,0.9538
2020-02-19,0.1875,44.337416,50.975117,0.5,0.1875,0.375,0.25,16.0,0.375,0.125,-2.5234
2020-02-20,0.26666666666666666,43.989540000000005,51.463091999999996,0.6666666666666666,0.06666666666666667,0.4666666666666667,0.13333333333333333,15.0,0.4,0.0,0.4269
2020-02-21,0.4444444444444444,43.309826,52.185511,0.5,0.0,0.2222222222222222,0.5,18.0,0.2777777777777778,0.05555555555555555,-1.0330000000000001
2020-02-22,0.3333333333333333,43.309826,52.185511,0.47619047619047616,0.09523809523809523,0.4523809523809524,0.38095238095238093,42.0,0.16666666666666666,0.09523809523809523,-6.994599999999999
2020-02-23,0.3181818181818182,43.309826,52.185511,0.4772727272727273,0.09090909090909091,0.38636363636363635,0.38636363636363635,44.0,0.22727272727272727,0.11363636363636363,-3.9147
2020-02-24,0.2872340425531915,43.296293,52.245174,0.46808510638297873,0.05319148936170213,0.43617021276595747,0.3723404255319149,94.0,0.19148936170212766,0.19148936170212766,-9.491299999999999
2020-02-25,0.3412969283276451,43.27698,52.2268,0.5563139931740614,0.030716723549488054,0.49829351535836175,0.310580204778157,293.0,0.19112627986348124,0.07167235494880546,-44.8707
2020-02-26,0.31115107913669066,43.242829,52.191632,0.5377697841726619,0.04316546762589928,0.45863309352517984,0.30035971223021585,556.0,0.24100719424460432,0.1079136690647482,-69.5934
2020-02-27,0.35815602836879434,43.39028,52.068106,0.47044917257683216,0.057919621749408984,0.4314420803782506,0.3061465721040189,846.0,0.2624113475177305,0.11347517730496454,-74.87379999999999
2020-02-28,0.3251700680272109,43.452523,52.330694,0.5156462585034014,0.04353741496598639,0.45034013605442175,0.3115646258503401,735.0,0.23809523809523808,0.11564625850340136,-83.07509999999995
2020-02-29,0.2876376988984088,43.324428999999995,52.427440999999995,0.5569155446756426,0.03916768665850673,0.5299877600979193,0.26805385556915545,817.0,0.20195838433292534,0.11627906976744186,-148.00600000000017
2020-03-01,0.2921686746987952,43.324428999999995,52.427440999999995,0.5572289156626506,0.0572289156626506,0.48493975903614456,0.33433734939759036,332.0,0.18072289156626506,0.09337349397590361,-56.03450000000006
2020-03-02,0.32492997198879553,43.17839,52.679613,0.5238095238095238,0.04481792717086835,0.4173669467787115,0.32492997198879553,357.0,0.25770308123249297,0.10644257703081232,-35.66839999999999
2020-03-03,0.2976878612716763,43.256935,52.673889,0.5578034682080925,0.05491329479768786,0.4190751445086705,0.3872832369942196,346.0,0.1936416184971098,0.08959537572254335,-42.24820000000001
2020-03-04,0.3281733746130031,43.198134,52.419232,0.5263157894736842,0.05263157894736842,0.4458204334365325,0.3498452012383901,323.0,0.2043343653250774,0.09287925696594428,-37.386700000000005
2020-03-05,0.35903614457831323,42.85326,52.86829399999999,0.4939759036144578,0.05783132530120482,0.472289156626506,0.30843373493975906,415.0,0.21927710843373494,0.0891566265060241,-60.79559999999997
2020-03-06,0.32158590308370044,42.759827,52.995391000000005,0.539647577092511,0.037444933920704845,0.4052863436123348,0.3898678414096916,454.0,0.20484581497797358,0.1013215859030837,-46.12989999999998
2020-03-07,0.27634660421545665,42.759827,52.995391000000005,0.5620608899297423,0.06088992974238876,0.40749414519906324,0.31381733021077285,427.0,0.2786885245901639,0.10070257611241218,-34.66309999999999
