,anger,app,disapp,fear,joy,neg,neu,num,pos,sadness,sum_c
2019-12-08,0.0,41.63626,53.398291,0.0,0.5,1.0,0.0,2.0,0.0,0.5,-1.8197
2019-12-09,1.0,41.601551,53.474377000000004,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.9515
2019-12-10,0.3333333333333333,41.683886,53.550838,0.48717948717948717,0.02564102564102564,0.3333333333333333,0.28205128205128205,39.0,0.38461538461538464,0.15384615384615385,-1.5506
2019-12-11,0.375,41.848714,53.16214,0.4166666666666667,0.041666666666666664,0.5,0.16666666666666666,24.0,0.3333333333333333,0.16666666666666666,-2.8764999999999987
2019-12-12,0.3,41.856325,53.229744,0.55,0.05,0.45,0.15,20.0,0.4,0.1,-2.7691
2019-12-13,0.0,41.869479,53.209044999999996,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2019-12-14,0.2909090909090909,41.848343,53.24031899999999,0.4909090909090909,0.16363636363636364,0.41818181818181815,0.36363636363636365,55.0,0.21818181818181817,0.05454545454545454,-6.5502
2019-12-15,0.3023255813953488,42.720797,52.909852,0.5116279069767442,0.06976744186046512,0.46511627906976744,0.18604651162790697,43.0,0.3488372093023256,0.11627906976744186,-5.1732
2019-12-16,0.2608695652173913,43.197325,52.495920999999996,0.5217391304347826,0.08695652173913043,0.34782608695652173,0.34782608695652173,23.0,0.30434782608695654,0.13043478260869565,-1.5979000000000003
2019-12-17,0.26851851851851855,43.784341,52.040942,0.4722222222222222,0.1388888888888889,0.4537037037037037,0.17592592592592593,108.0,0.37037037037037035,0.12037037037037036,-14.3617
2019-12-18,0.375,43.370585,52.179216,0.625,0.0,0.875,0.0,8.0,0.125,0.0,-4.800799999999999
2019-12-19,0.2936802973977695,43.354236,52.05592,0.5278810408921933,0.07806691449814127,0.4646840148698885,0.23048327137546468,269.0,0.3048327137546468,0.10037174721189591,-25.6241
2019-12-20,0.34177215189873417,43.284416,52.157102,0.3924050632911392,0.12658227848101267,0.5189873417721519,0.27848101265822783,79.0,0.20253164556962025,0.13924050632911392,-18.217699999999997
2019-12-21,0.2698412698412698,43.284416,52.157102,0.5079365079365079,0.12698412698412698,0.5873015873015873,0.14285714285714285,63.0,0.2698412698412698,0.09523809523809523,-14.313200000000004
2019-12-23,0.0,42.730270000000004,52.782378,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.5267
2019-12-26,0.23232323232323232,42.704489,52.805547999999995,0.45454545454545453,0.12121212121212122,0.3434343434343434,0.20202020202020202,99.0,0.45454545454545453,0.1919191919191919,4.093000000000001
2019-12-27,0.36,42.601538,52.888630000000006,0.43,0.06,0.44,0.25,100.0,0.31,0.15,-12.300099999999997
2019-12-28,0.25,42.601538,52.888630000000006,0.75,0.0,0.5,0.25,4.0,0.25,0.0,-0.07879999999999998
2019-12-29,0.23255813953488372,42.605096,52.88621800000001,0.4883720930232558,0.18604651162790697,0.4418604651162791,0.2558139534883721,43.0,0.3023255813953488,0.09302325581395349,-5.1616
2019-12-30,0.25,42.551511,52.971720999999995,0.6,0.075,0.375,0.275,40.0,0.35,0.075,-2.792200000000001
2019-12-31,0.5,42.616134,52.896474,0.5,0.0,0.25,0.5,4.0,0.25,0.0,-0.1747
2020-01-01,0.2235294117647059,42.612555,52.87366,0.49411764705882355,0.1411764705882353,0.43529411764705883,0.2,85.0,0.36470588235294116,0.1411764705882353,-7.360999999999998
2020-01-02,0.24603174603174602,42.410090000000004,53.082239,0.5158730158730159,0.0873015873015873,0.3492063492063492,0.2619047619047619,126.0,0.3888888888888889,0.15079365079365079,-0.19439999999999735
2020-01-03,0.25203252032520324,42.495557,52.961453000000006,0.5365853658536586,0.08130081300813008,0.5121951219512195,0.23983739837398374,246.0,0.24796747967479674,0.13008130081300814,-48.47669999999998
2020-01-04,0.273224043715847,42.495557,52.961453000000006,0.5519125683060109,0.09289617486338798,0.4644808743169399,0.2459016393442623,183.0,0.2896174863387978,0.08196721311475409,-23.928900000000002
2020-01-05,0.2635135135135135,42.495557,52.961453000000006,0.5675675675675675,0.08108108108108109,0.5067567567567568,0.19594594594594594,148.0,0.2972972972972973,0.08783783783783784,-22.916100000000004
2020-01-06,0.20454545454545456,42.426095000000004,53.031727000000004,0.6136363636363636,0.13636363636363635,0.25,0.4090909090909091,44.0,0.3409090909090909,0.045454545454545456,0.8651
2020-01-07,0.5,41.986182,53.264219999999995,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,0.3333333333333333,0.0,-0.09079999999999994
2020-01-08,0.325,41.864635,53.403808,0.46875,0.1,0.5,0.2,160.0,0.3,0.10625,-23.702199999999998
2020-01-09,0.28,41.876866,53.3936,0.46,0.1,0.41333333333333333,0.24666666666666667,150.0,0.34,0.16,-8.694500000000005
2020-01-10,0.4166666666666667,41.788103,53.453778,0.25,0.0,0.5833333333333334,0.08333333333333333,12.0,0.3333333333333333,0.3333333333333333,-3.0828999999999995
2020-01-11,0.35353535353535354,41.788103,53.453778,0.47474747474747475,0.0707070707070707,0.5858585858585859,0.21212121212121213,99.0,0.20202020202020202,0.10101010101010101,-25.15709999999999
2020-01-12,0.2907801418439716,41.788103,53.453778,0.5460992907801419,0.09929078014184398,0.5177304964539007,0.1702127659574468,141.0,0.3120567375886525,0.06382978723404255,-24.272300000000005
2020-01-13,0.23275862068965517,42.296096,52.761621,0.6120689655172413,0.0603448275862069,0.5,0.16379310344827586,116.0,0.33620689655172414,0.09482758620689655,-9.951
2020-01-14,0.2975206611570248,42.304678,52.792533999999996,0.49586776859504134,0.10743801652892562,0.32231404958677684,0.2396694214876033,121.0,0.4380165289256198,0.09917355371900827,7.230500000000001
2020-01-15,0.3353658536585366,42.15023,53.026897,0.4146341463414634,0.11585365853658537,0.4573170731707317,0.13414634146341464,164.0,0.40853658536585363,0.13414634146341464,-8.372999999999998
2020-01-16,0.2159090909090909,42.42082,52.866007999999994,0.5909090909090909,0.09090909090909091,0.3409090909090909,0.29545454545454547,88.0,0.36363636363636365,0.10227272727272728,-1.1156999999999986
2020-01-17,0.2,42.33786,52.985788,0.5333333333333333,0.06666666666666667,0.4666666666666667,0.3333333333333333,15.0,0.2,0.2,-3.2120000000000006
2020-01-18,0.17073170731707318,42.33786,52.985788,0.5609756097560976,0.07317073170731707,0.2682926829268293,0.3170731707317073,41.0,0.4146341463414634,0.1951219512195122,3.2078
